ano,id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto
2021,2929503,34998.0,34998.0,34684.0,34998.0,2331.0
2020,2306702,8604.0,8604.0,6718.0,8604.0,244.0
2021,2310209,23121.0,23121.0,8396.0,23121.0,4062.0
2021,2310407,6014.0,6014.0,4532.0,6014.0,815.0
2020,2313104,19838.0,19838.0,14500.0,19838.0,1952.0
2021,3202306,25233.0,25233.0,25232.0,25233.0,25232.0
2019,3203320,31140.0,31140.0,31000.0,31140.0,17271.0
2019,3203809,9990.0,9990.0,9436.0,9990.0,9990.0
2019,3204104,21187.0,21187.0,18288.0,21187.0,21187.0
2021,3204955,6242.0,6242.0,6076.0,6242.0,3961.0
2020,5202155,5388.0,5388.0,5388.0,5388.0,3979.0
2020,5204250,5212.0,5212.0,5212.0,5212.0,4713.0
2020,5212105,6730.0,6730.0,6730.0,6730.0,6730.0
2020,5214606,36782.0,36782.0,36768.0,36782.0,16344.0
2020,5217708,14497.0,14497.0,14497.0,14497.0,14497.0
2019,5218003,38295.0,38295.0,38295.0,38295.0,7015.0
2020,5220108,30235.0,30235.0,30235.0,30235.0,29682.0
2021,3153509,4283.0,4283.0,3929.0,4283.0,4283.0
2019,3103405,23887.0,23887.0,23094.0,23887.0,14160.0
2019,3104601,12911.0,12911.0,11783.0,12911.0,12911.0
2019,3105905,20152.0,20152.0,17195.0,20152.0,18585.0
2020,3106408,3375.0,3375.0,3355.0,3375.0,3373.0
2020,3107703,2810.0,2810.0,2757.0,2810.0,2667.0
2019,3108552,14383.0,14383.0,13027.0,14383.0,2758.0
2019,3112307,26873.0,26873.0,26873.0,26873.0,23985.0
2020,3115458,1578.0,1578.0,1307.0,1578.0,1004.0
2021,3117009,2831.0,2831.0,2831.0,2831.0,2219.0
2020,3121209,5060.0,5060.0,3849.0,5060.0,3578.0
2019,3121209,5048.0,5048.0,3834.0,5048.0,3545.0
2019,3121605,41673.0,41673.0,41673.0,41673.0,33720.0
2019,3123601,22681.0,22681.0,22477.0,22681.0,22477.0
2021,3131505,7945.0,7945.0,7248.0,7945.0,5562.0
2019,3135456,3116.0,3116.0,3116.0,3116.0,3116.0
2020,3136009,10626.0,10626.0,8626.0,10626.0,7125.0
2021,3137403,7372.0,7372.0,7339.0,7372.0,7308.0
2021,3138625,5563.0,5563.0,5399.0,5563.0,5253.0
2020,3138625,5526.0,5526.0,5452.0,5526.0,5232.0
2021,3138658,6548.0,6548.0,4811.0,6548.0,2052.0
2020,3141207,2679.0,2679.0,2590.0,2679.0,2679.0
2020,3143450,3430.0,3430.0,3369.0,3430.0,2580.0
2019,3148202,4631.0,4631.0,4628.0,4631.0,4630.0
2020,3148509,5101.0,5101.0,5099.0,5101.0,4486.0
2020,3150604,3030.0,3030.0,3026.0,3030.0,2433.0
2019,3152709,6389.0,6389.0,6382.0,6389.0,6167.0
2021,3155108,2678.0,2678.0,2378.0,2678.0,1928.0
2021,3156700,134399.0,134399.0,105627.0,134399.0,86899.0
2020,3159803,16353.0,16353.0,16167.0,16353.0,16150.0
2021,3160454,1673.0,1673.0,1673.0,1673.0,1456.0
2021,3168002,28088.0,28088.0,24871.0,28088.0,14772.0
2020,3168606,115134.0,115134.0,99569.0,115134.0,86513.0
2019,3172103,3938.0,3938.0,3246.0,3938.0,3900.0
2019,5000906,7450.0,7450.0,7375.0,7450.0,721.0
2021,5003900,1602.0,1602.0,1586.0,1602.0,146.0
2019,5004502,15821.0,15821.0,15662.0,15821.0,1663.0
2019,5005103,1878.0,1878.0,1859.0,1878.0,1859.0
2020,5106422,22713.0,22713.0,22713.0,22713.0,16908.0
2020,5107925,81393.0,81393.0,81393.0,81393.0,31618.0
2020,1501303,46172.0,46172.0,46172.0,46172.0,14432.0
2020,2500908,9551.0,9551.0,9551.0,9551.0,4551.0
2021,2502508,12750.0,12750.0,11889.0,12750.0,12620.0
2021,2502706,3878.0,3878.0,2000.0,3878.0,99.0
2021,2503902,3037.0,3037.0,3037.0,3037.0,290.0
2021,2500700,6817.0,6817.0,6817.0,6817.0,4500.0
2021,2606309,3517.0,3517.0,3517.0,3517.0,1029.0
2021,2607901,695854.0,695854.0,569150.0,695854.0,153937.0
2020,2607901,691488.0,691488.0,563775.0,691488.0,153937.0
2020,2609808,5308.0,5308.0,5308.0,5308.0,5000.0
2020,4100400,115026.0,115026.0,115026.0,115026.0,69630.0
2021,4100509,16401.0,16401.0,16401.0,16401.0,11574.0
2021,4128625,1454.0,1454.0,1454.0,1454.0,754.0
2021,4104402,4167.0,4167.0,4167.0,4167.0,4066.0
2020,4104451,8757.0,8757.0,8757.0,8757.0,5484.0
2020,4105102,8979.0,8979.0,8979.0,8979.0,3121.0
2020,4106555,1662.0,1662.0,1662.0,1662.0,1662.0
2021,4107751,6520.0,6520.0,6520.0,6520.0,989.0
2021,4109401,168013.0,168013.0,168013.0,168013.0,168013.0
2019,4109401,165955.0,165955.0,165955.0,165955.0,164451.0
2019,4113601,4465.0,4465.0,4465.0,4465.0,4465.0
2021,4114906,6264.0,6264.0,6264.0,6264.0,1893.0
2021,4117305,8932.0,8932.0,8932.0,8932.0,8932.0
2019,4119509,55468.0,55468.0,55468.0,55468.0,55468.0
2020,4119608,18922.0,18922.0,18922.0,18922.0,16682.0
2020,4121208,5497.0,5497.0,5497.0,5497.0,1637.0
2019,4122909,3548.0,3548.0,3548.0,3548.0,1944.0
2020,4123303,5511.0,5511.0,5511.0,5511.0,1455.0
2019,4124806,6508.0,6508.0,6508.0,6508.0,5360.0
2020,4125308,4804.0,4804.0,4600.0,4804.0,4489.0
2021,4125704,17718.0,17718.0,17718.0,17718.0,17718.0
2021,4128401,9163.0,9163.0,9163.0,9163.0,9163.0
2021,4128559,6416.0,6416.0,6416.0,6416.0,6416.0
2020,4128559,6466.0,6466.0,6466.0,6466.0,6447.0
2021,3300258,30827.0,30827.0,30115.0,30827.0,24699.0
2021,2406106,10951.0,10951.0,10951.0,10951.0,3926.0
2020,2408102,890480.0,890480.0,854563.0,890480.0,385343.0
2020,2409407,28180.0,28180.0,28180.0,28180.0,6955.0
2019,2410900,4994.0,4994.0,4994.0,4994.0,4819.0
2021,2412203,20428.0,20428.0,20428.0,20428.0,267.0
2019,1100346,7545.0,7545.0,7540.0,7545.0,6866.0
2021,1100254,10827.0,10827.0,10827.0,10827.0,350.0
2019,4306767,37026.0,37026.0,32304.0,37026.0,4234.0
2019,4310108,35186.0,35186.0,29247.0,35186.0,925.0
2019,4310330,22788.0,22788.0,22085.0,22788.0,148.0
2019,4313508,42633.0,42633.0,37800.0,42633.0,790.0
2021,4313904,40488.0,40488.0,40488.0,40488.0,528.0
2021,4315073,299.0,299.0,299.0,299.0,60.0
2020,4208005,3869.0,3869.0,3869.0,3869.0,3869.0
2020,4208401,8406.0,8406.0,8400.0,8406.0,7225.0
2021,4208906,171266.0,171266.0,170829.0,171266.0,154693.0
2019,4209102,570484.0,570484.0,570484.0,570484.0,222736.0
2020,4211900,172690.0,172690.0,161250.0,172690.0,23162.0
2019,4211900,169266.0,169266.0,155724.0,169266.0,17926.0
2021,4219309,49174.0,49174.0,49174.0,49174.0,234.0
2021,2803005,21149.0,21149.0,21048.0,21149.0,12136.0
2021,3501608,243228.0,243228.0,243228.0,243228.0,243228.0
2020,3502754,22860.0,22860.0,14311.0,22860.0,9358.0
2020,3502903,23903.0,23903.0,23275.0,23903.0,11132.0
2019,3504206,13848.0,13848.0,13848.0,13848.0,13848.0
2021,3505203,34008.0,34008.0,34008.0,34008.0,34008.0
2021,3506805,11584.0,11584.0,11584.0,11584.0,11584.0
2020,3508207,3682.0,3682.0,3682.0,3682.0,3682.0
2020,3509502,1192920.0,1192920.0,1190638.0,1192920.0,1150240.0
2019,3512100,4488.0,4488.0,4488.0,4488.0,4488.0
2019,3512407,22031.0,22031.0,22031.0,22031.0,22031.0
2019,3512605,3618.0,3618.0,3618.0,3618.0,3618.0
2019,3513900,7459.0,7459.0,7459.0,7459.0,7435.0
2019,3514908,14148.0,14148.0,14148.0,14148.0,14148.0
2019,3557303,9016.0,9016.0,9016.0,9016.0,9016.0
2021,3515202,7007.0,7007.0,7007.0,7007.0,7007.0
2019,3517109,3546.0,3546.0,3196.0,3546.0,3148.0
2021,3517505,19536.0,19536.0,19500.0,19536.0,19500.0
